Order,Question,Question Pre,Answer,Hint (Lat/Lon),Hint (Type),Hint (Title),Hint (Singer),Hint (Lyricist),Hint (Lyrics),Hint (Year),Hint (Photo),Photo Attribution,Note
1,ＸＸＸ,歌名,囍帖街,"22.27620364246113, 114.17254011847393",街,,謝安琪,黃偉文,終須會時辰到,2008,https://www.vivabluehouse.hk/uploads/images/tour/-46d9d.jpg,,
2,我們終於去到了九龍塘//在ＸＸ旁的酒店爆房,歌詞,城大,"22.337443558781473, 114.17583315181443",學校,浪漫九龍塘,My Little Airport,林阿p,,,https://i.ytimg.com/vi/zGDIRTQ-xWY/mqdefault.jpg,YouTube 截圖,
3,離家數百米之外//一個叫ＸＸ的天堂,歌詞,啟德,"22.318994, 114.199323",已消失地標,紅河村,林一峰,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/KaiTakAirport-2.jpg,"Ywchow, Public domain, via Wikimedia Commons",
4,站在ＸＸ前//細心看看我的路,歌詞,大丸,"22.280619676674412, 114.18598023895105",已消失地標,下一站天后,Twins,黃偉文,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Fashionwalk_03082017_R2.jpg,"Teresaku, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
5,怎知道霎眼//就談到ＸＸ了,歌詞,赤柱,"22.21850267678621, 114.2113012609606",區,老派約會之必要,MC 張天賦,黃偉文,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Murray_House_Stanley_Hong_Kong.jpg,"Hankt, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",
6,學校梳的馬尾//狂奔過ＸＸ的你,歌詞,東壩,"22.362755636269835, 114.37604438037057",景點,三分甜,Lolly Talk,雷暐樂,,2022,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-EsLh4L9370CCru6qLUcw3YU3DFXaeRbnhw&s,《全民造星4》前傳 MV 截圖,
7,伯伯問我下個站去到邊//我話去到ＸＸＸ,歌詞,柯士甸,"22.305415804342292, 114.16609677566802",區,隨風,新青年理髮廳,新青年理髮廳,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Austin_Station_Exterior_view_201810.jpg/1920px-Austin_Station_Exterior_view_201810.jpg,https://zh.wikipedia.org/zh-tw/%E6%9F%AF%E5%A3%AB%E7%94%B8%E7%AB%99#/media/File:Austin_Station_Exterior_view_201810.jpg,
8,ＸＸ街的流星,歌名,花園,"22.322329, 114.170519",,,李克勤,陳少琪,現在我跟你路過這街道旁 小販攤檔始終密佈,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fa_Yuen_Street_2021_03_part1.jpg/1920px-Fa_Yuen_Street_2021_03_part1.jpg,"由 Qwer132477 - 自己的作品, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=103025482",
9,不過呢個ＸＸＸ//保養認真曳,歌詞,大球場,"22.272819809609498, 114.1886946250979",球場,好波！,LMF,LMF,,,,,
10,寄望我密友共至親//有日到ＸＸ賀金婚,歌詞,藍田,"22.306132651055737, 114.2374628860553",區,藍田金婚,藍奕邦,林夕,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lam_Tin_Skyline_2009.jpg/1920px-Lam_Tin_Skyline_2009.jpg,"WiNG, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
